1552917259
= Start time (s)
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
1.706870000000000118e+02 1.002821306897438980e-12 2.897443136112842765e-12 7.716876047675000350e-14
1.721090000000000089e+02 1.061775884228510769e-12 2.735462897862639409e-12 8.000566355248484030e-14
1.735149999999999864e+02 9.591409697723429773e-13 2.839202831173004427e-12 7.221329247466060086e-14
1.749370000000000118e+02 1.031941134106706404e-12 2.941830373054399317e-12 8.186401318117930703e-14
1.763439999999999941e+02 1.217581374265974681e-12 2.762762458044520919e-12 8.287096594887521928e-14
1.777500000000000000e+02 9.828009716814078978e-13 2.850999818171384703e-12 7.808553472874943391e-14
1.791560000000000059e+02 9.627808533058113127e-13 2.767582820903391472e-12 8.217377651812199368e-14
1.805780000000000030e+02 1.026481091966069403e-12 2.871389541067581597e-12 7.782531265482575678e-14
1.819840000000000089e+02 1.066521220297045325e-12 2.762021297439409828e-12 7.573165049712046737e-14
1.834060000000000059e+02 1.141141326398142919e-12 2.752752886747700245e-12 8.236915652586745962e-14
1.848120000000000118e+02 1.092000947132409916e-12 2.782782684840334753e-12 8.712553112777063347e-14
1.862189999999999941e+02 1.073800987363981996e-12 2.832462129426227548e-12 8.163056412465244382e-14
1.876250000000000000e+02 1.155700860532016261e-12 2.680862476456269405e-12 7.208941560019055395e-14
1.890310000000000059e+02 9.991808812628844017e-13 2.977523609615229105e-12 7.891550504431424362e-14
1.904530000000000030e+02 1.075621254391367909e-12 2.597041722299242572e-12 8.562470394171683985e-14
1.918590000000000089e+02 1.013741065918061235e-12 2.697243036559049401e-12 9.022651197140504897e-14
1.932649999999999864e+02 9.973611563365847310e-13 2.966602657972217116e-12 7.881489785897116684e-14
1.946719999999999970e+02 9.813385997911594494e-13 2.700848876144301691e-12 7.942346731465085852e-14
1.960939999999999941e+02 9.318410843298097213e-13 2.744562823536744745e-12 8.032788843814753221e-14
1.975000000000000000e+02 9.938512686435974075e-13 2.995588586213182580e-12 8.529568923994895746e-14
1.989219999999999970e+02 1.071981262437682325e-12 2.850999384490515709e-12 8.558061757087814803e-14
