ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			184
Number of stored cycles			184
Printed start cycle			1
Printed end cycle			184
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.4506E-010	max:	2.52616E-010	
'0/1'	44.00	min:	6.1708E-012	max:	7.24187E-012	
'0/2'	28.00	min:	7.35579E-012	max:	7.6642E-012	
'0/3'	32.00	min:	4.26812E-010	max:	4.36926E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
89	2/22/2019	3:03:34:26 PM	659.265	2.50065E-010	6.42328E-012	7.49597E-012	4.32644E-010	
90	2/22/2019	3:03:36:71 PM	661.718	2.5025E-010	6.556E-012	7.45534E-012	4.3048E-010	
91	2/22/2019	3:03:39:17 PM	664.171	2.48211E-010	6.52486E-012	7.4303E-012	4.30966E-010	
92	2/22/2019	3:03:41:62 PM	666.625	2.5025E-010	6.55748E-012	7.44039E-012	4.30791E-010	
93	2/22/2019	3:03:44:07 PM	669.078	2.46974E-010	6.54766E-012	7.43334E-012	4.30827E-010	
94	2/22/2019	3:11:48:75 PM	1153.75	2.45882E-010	6.78938E-012	7.39505E-012	4.26878E-010	
95	2/22/2019	3:11:51:21 PM	1156.22	2.46543E-010	6.95937E-012	7.4355E-012	4.26812E-010	
96	2/22/2019	3:11:53:65 PM	1158.66	2.4506E-010	6.63775E-012	7.41161E-012	4.27164E-010	
97	2/22/2019	3:11:56:12 PM	1161.12	2.49232E-010	6.80254E-012	7.47543E-012	4.27574E-010	
98	2/22/2019	3:11:58:57 PM	1163.58	2.47702E-010	6.5395E-012	7.48851E-012	4.28217E-010	
99	2/22/2019	3:12:01:01 PM	1166.01	2.48794E-010	6.64887E-012	7.44772E-012	4.28012E-010	
100	2/22/2019	3:12:03:46 PM	1168.47	2.47655E-010	6.38416E-012	7.4208E-012	4.28754E-010	
101	2/22/2019	3:12:05:92 PM	1170.92	2.47655E-010	6.68947E-012	7.49318E-012	4.28456E-010	
102	2/22/2019	3:12:08:37 PM	1173.37	2.48143E-010	6.77696E-012	7.50364E-012	4.27993E-010	
103	2/22/2019	3:12:10:81 PM	1175.81	2.47884E-010	6.87855E-012	7.43856E-012	4.28046E-010	
104	2/22/2019	3:12:13:26 PM	1178.26	2.46728E-010	6.70448E-012	7.44409E-012	4.27471E-010	
105	2/22/2019	3:12:15:71 PM	1180.72	2.46728E-010	6.65907E-012	7.37579E-012	4.28406E-010	
106	2/22/2019	3:12:18:17 PM	1183.17	2.47156E-010	6.83999E-012	7.46083E-012	4.28089E-010	
107	2/22/2019	3:12:20:60 PM	1185.61	2.47655E-010	6.49761E-012	7.48955E-012	4.27673E-010	
108	2/22/2019	3:12:23:06 PM	1188.06	2.47748E-010	6.90079E-012	7.4664E-012	4.28617E-010	
109	2/22/2019	3:12:25:51 PM	1190.51	2.47033E-010	6.22066E-012	7.49513E-012	4.29687E-010	
