ASCII SAMPLE CYCLES :			ar_o2_co2_co_disc.mdc
DATE :	2/25/2019	TIME :	10:43:51 AM
CONVERTED CYCLES :			3372
Number of stored cycles			3372
Printed start cycle			1
Printed end cycle			3372
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	3.09977E-010	max:	3.14889E-010	
'0/1'	44.00	min:	5.34979E-012	max:	5.72313E-012	
'0/2'	28.00	min:	7.61571E-012	max:	7.76286E-012	
'0/3'	32.00	min:	4.99929E-010	max:	5.04661E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
88	2/25/2019	11:14:33:67 AM	1842.67	2.75442E-010	6.05828E-012	7.19117E-012	4.51535E-010	
89	2/25/2019	11:14:36:12 AM	1845.12	2.75949E-010	5.76947E-012	7.28938E-012	4.53467E-010	
90	2/25/2019	11:14:38:56 AM	1847.56	2.75961E-010	5.81711E-012	7.27142E-012	4.52287E-010	
91	2/25/2019	11:14:41:01 AM	1850.02	2.76091E-010	5.79505E-012	7.26711E-012	4.51356E-010	
92	2/25/2019	11:14:43:46 AM	1852.47	2.76536E-010	5.94317E-012	7.24129E-012	4.52584E-010	
93	2/25/2019	11:14:45:92 AM	1854.92	2.76165E-010	6.05939E-012	7.20912E-012	4.52976E-010	
94	2/25/2019	11:14:48:39 AM	1857.39	2.76221E-010	6.12168E-012	7.22493E-012	4.52802E-010	
95	2/25/2019	11:19:25:87 AM	2134.87	2.7129E-010	5.96726E-012	7.21174E-012	4.46788E-010	
96	2/25/2019	11:19:28:32 AM	2137.33	2.71253E-010	6.23086E-012	7.22316E-012	4.47337E-010	
97	2/25/2019	11:19:30:78 AM	2139.78	2.71438E-010	5.68495E-012	7.21172E-012	4.45576E-010	
98	2/25/2019	11:19:33:21 AM	2142.22	2.72847E-010	5.98599E-012	7.20224E-012	4.47524E-010	
99	2/25/2019	11:19:35:67 AM	2144.67	2.71994E-010	6.06291E-012	7.26786E-012	4.48197E-010	
100	2/25/2019	11:19:38:12 AM	2147.12	2.74274E-010	5.9643E-012	7.27049E-012	4.47401E-010	
101	2/25/2019	11:19:40:57 AM	2149.58	2.71494E-010	6.24143E-012	7.18799E-012	4.48185E-010	
102	2/25/2019	11:19:43:03 AM	2152.03	2.71253E-010	5.74334E-012	7.21355E-012	4.48408E-010	
103	2/25/2019	11:19:45:46 AM	2154.47	2.73588E-010	5.74482E-012	7.25026E-012	4.48582E-010	
104	2/25/2019	11:19:47:92 AM	2156.92	2.73236E-010	6.06792E-012	7.16629E-012	4.47825E-010	
105	2/25/2019	11:19:50:37 AM	2159.37	2.72291E-010	5.9085E-012	7.25996E-012	4.49147E-010	
106	2/25/2019	11:19:52:82 AM	2161.83	2.74219E-010	6.29092E-012	7.23758E-012	4.4976E-010	
