ASCII SAMPLE CYCLES :			4_continuous.mdc
DATE :	2/22/2019	TIME :	3:55:12 PM
CONVERTED CYCLES :			1759
Number of stored cycles			1765
Printed start cycle			7
Printed end cycle			1765
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.50806E-010	max:	2.59445E-010	
'0/1'	44.00	min:	6.442E-012	max:	7.32974E-012	
'0/2'	28.00	min:	7.37784E-012	max:	7.63401E-012	
'0/3'	32.00	min:	4.30172E-010	max:	4.40564E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
83	2/22/2019	3:58:41:35 PM	209.359	2.56905E-010	6.85797E-012	7.52413E-012	4.36131E-010	
84	2/22/2019	3:58:43:81 PM	211.813	2.55533E-010	6.85778E-012	7.48129E-012	4.37521E-010	
85	2/22/2019	3:58:46:26 PM	214.266	2.56627E-010	7.06929E-012	7.50581E-012	4.37137E-010	
86	2/22/2019	3:58:48:70 PM	216.703	2.56219E-010	6.54914E-012	7.50249E-012	4.36836E-010	
87	2/22/2019	3:58:51:15 PM	219.156	2.55997E-010	6.59511E-012	7.55323E-012	4.35894E-010	
88	2/22/2019	3:58:53:60 PM	221.609	2.55737E-010	6.86853E-012	7.53809E-012	4.36177E-010	
89	2/22/2019	3:58:56:06 PM	224.063	2.56794E-010	6.80403E-012	7.46593E-012	4.36955E-010	
90	2/22/2019	3:58:58:51 PM	226.516	2.5481E-010	6.72951E-012	7.56793E-012	4.35539E-010	
91	2/22/2019	3:59:00:95 PM	228.953	2.55274E-010	6.93694E-012	7.48323E-012	4.36222E-010	
92	2/22/2019	3:59:03:40 PM	231.406	2.54273E-010	6.83517E-012	7.54831E-012	4.35729E-010	
93	2/22/2019	3:59:05:85 PM	233.859	2.557E-010	6.84685E-012	7.53174E-012	4.36298E-010	
94	2/22/2019	3:59:08:32 PM	236.328	2.55533E-010	6.80588E-012	7.51429E-012	4.36089E-010	
95	2/22/2019	3:59:10:78 PM	238.781	2.56608E-010	6.71375E-012	7.50488E-012	4.35073E-010	
96	2/22/2019	3:59:13:21 PM	241.219	2.5444E-010	6.74786E-012	7.44927E-012	4.35122E-010	
97	2/22/2019	3:59:15:67 PM	243.672	2.54514E-010	6.9666E-012	7.53541E-012	4.3464E-010	
98	2/22/2019	3:59:18:12 PM	246.125	2.5659E-010	6.89226E-012	7.48369E-012	4.3503E-010	
99	2/22/2019	3:59:20:57 PM	248.578	2.5405E-010	7.06818E-012	7.48204E-012	4.36004E-010	
100	2/22/2019	3:59:23:03 PM	251.031	2.56386E-010	6.8702E-012	7.46371E-012	4.3547E-010	
101	2/22/2019	3:59:25:48 PM	253.484	2.54959E-010	7.0704E-012	7.44988E-012	4.3459E-010	
102	2/22/2019	3:59:27:93 PM	255.938	2.55033E-010	6.93249E-012	7.49475E-012	4.35023E-010	
103	2/22/2019	3:59:30:39 PM	258.391	2.55274E-010	6.79902E-012	7.45721E-012	4.35836E-010	
104	2/22/2019	3:59:32:82 PM	260.828	2.55237E-010	6.94769E-012	7.5746E-012	4.35183E-010	
105	2/22/2019	3:59:35:28 PM	263.281	2.55663E-010	6.66129E-012	7.50697E-012	4.35754E-010	
106	2/22/2019	3:59:37:73 PM	265.734	2.57035E-010	6.64238E-012	7.53915E-012	4.36557E-010	
107	2/22/2019	3:59:40:18 PM	268.188	2.56256E-010	7.0856E-012	7.47634E-012	4.36918E-010	
108	2/22/2019	3:59:42:62 PM	270.625	2.55163E-010	7.02239E-012	7.51056E-012	4.35649E-010	
109	2/22/2019	3:59:45:07 PM	273.078	2.54829E-010	6.78382E-012	7.45811E-012	4.36179E-010	
110	2/22/2019	3:59:47:53 PM	275.531	2.55626E-010	7.07615E-012	7.5075E-012	4.35632E-010	
111	2/22/2019	3:59:49:98 PM	277.984	2.54755E-010	6.59641E-012	7.52497E-012	4.36355E-010	
112	2/22/2019	3:59:52:43 PM	280.438	2.55997E-010	6.77066E-012	7.57065E-012	4.37026E-010	
113	2/22/2019	3:59:54:90 PM	282.906	2.55719E-010	6.60308E-012	7.57435E-012	4.36886E-010	
114	2/22/2019	3:59:57:34 PM	285.344	2.56386E-010	6.81404E-012	7.55373E-012	4.37369E-010	
115	2/22/2019	3:59:59:79 PM	287.797	2.56442E-010	6.81441E-012	7.50504E-012	4.36945E-010	
116	2/22/2019	4:00:02:25 PM	290.25	2.55633E-010	6.80662E-012	7.5764E-012	4.36459E-010	
117	2/22/2019	4:00:04:70 PM	292.703	2.56886E-010	6.76862E-012	7.52973E-012	4.36429E-010	
118	2/22/2019	4:00:07:15 PM	295.156	2.54421E-010	6.90839E-012	7.52776E-012	4.36372E-010	
119	2/22/2019	4:00:09:60 PM	297.609	2.5557E-010	6.6283E-012	7.55162E-012	4.35887E-010	
120	2/22/2019	4:00:12:06 PM	300.063	2.5583E-010	6.76399E-012	7.51671E-012	4.36034E-010	
121	2/22/2019	4:00:14:50 PM	302.5	2.54829E-010	6.56212E-012	7.54881E-012	4.3496E-010	
122	2/22/2019	4:00:16:95 PM	304.953	2.55515E-010	7.26579E-012	7.50877E-012	4.34945E-010	
123	2/22/2019	4:00:19:40 PM	307.406	2.54662E-010	6.68465E-012	7.51566E-012	4.34853E-010	
124	2/22/2019	4:00:21:85 PM	309.859	2.56182E-010	7.2428E-012	7.50281E-012	4.35065E-010	
125	2/22/2019	4:00:24:29 PM	312.297	2.5444E-010	6.88244E-012	7.47068E-012	4.34462E-010	
126	2/22/2019	4:00:26:75 PM	314.75	2.55774E-010	6.67352E-012	7.56064E-012	4.33857E-010	
127	2/22/2019	4:00:29:20 PM	317.203	2.55422E-010	7.07504E-012	7.49134E-012	4.34647E-010	
128	2/22/2019	4:00:31:65 PM	319.656	2.56256E-010	7.09135E-012	7.47332E-012	4.34381E-010	
129	2/22/2019	4:00:34:10 PM	322.109	2.54885E-010	6.85074E-012	7.42758E-012	4.34621E-010	
130	2/22/2019	4:00:36:54 PM	324.547	2.54532E-010	6.68483E-012	7.52061E-012	4.35073E-010	
131	2/22/2019	4:00:39:01 PM	327.016	2.55644E-010	6.82868E-012	7.44568E-012	4.34552E-010	
132	2/22/2019	4:00:41:45 PM	329.453	2.55997E-010	7.13843E-012	7.4583E-012	4.33918E-010	
133	2/22/2019	4:00:43:90 PM	331.906	2.54662E-010	6.79717E-012	7.50218E-012	4.34576E-010	
134	2/22/2019	4:00:46:35 PM	334.359	2.55441E-010	6.78716E-012	7.50259E-012	4.34179E-010	
135	2/22/2019	4:00:48:81 PM	336.813	2.5507E-010	6.86316E-012	7.52371E-012	4.3433E-010	
136	2/22/2019	4:00:51:26 PM	339.266	2.55941E-010	7.00571E-012	7.49407E-012	4.34434E-010	
137	2/22/2019	4:00:53:71 PM	341.719	2.53772E-010	6.98847E-012	7.50588E-012	4.34524E-010	
138	2/22/2019	4:00:56:17 PM	344.172	2.54922E-010	6.92359E-012	7.46025E-012	4.3474E-010	
139	2/22/2019	4:00:58:62 PM	346.625	2.55088E-010	6.69392E-012	7.48922E-012	4.34826E-010	
140	2/22/2019	4:01:01:06 PM	349.063	2.55533E-010	6.84759E-012	7.48694E-012	4.3451E-010	
141	2/22/2019	4:01:03:51 PM	351.516	2.55478E-010	7.02999E-012	7.49328E-012	4.34604E-010	
142	2/22/2019	4:01:05:96 PM	353.969	2.56516E-010	6.7436E-012	7.54107E-012	4.34928E-010	
143	2/22/2019	4:01:08:42 PM	356.422	2.53846E-010	6.84203E-012	7.53964E-012	4.34934E-010	
144	2/22/2019	4:01:10:85 PM	358.859	2.55978E-010	6.77696E-012	7.47366E-012	4.33386E-010	
145	2/22/2019	4:01:13:31 PM	361.313	2.5405E-010	6.85815E-012	7.469E-012	4.33832E-010	
146	2/22/2019	4:01:15:76 PM	363.766	2.54718E-010	6.86835E-012	7.5007E-012	4.3364E-010	
147	2/22/2019	4:01:18:21 PM	366.219	2.53995E-010	6.70745E-012	7.4492E-012	4.33453E-010	
148	2/22/2019	4:01:20:65 PM	368.656	2.54625E-010	6.69818E-012	7.47508E-012	4.33756E-010	
149	2/22/2019	4:01:23:10 PM	371.109	2.5507E-010	6.92229E-012	7.44348E-012	4.34024E-010	
150	2/22/2019	4:01:25:57 PM	373.578	2.55515E-010	6.64349E-012	7.50247E-012	4.34489E-010	
151	2/22/2019	4:01:28:03 PM	376.031	2.55978E-010	7.0311E-012	7.48986E-012	4.34583E-010	
152	2/22/2019	4:01:30:48 PM	378.484	2.53457E-010	6.71023E-012	7.50531E-012	4.35238E-010	
153	2/22/2019	4:01:32:95 PM	380.953	2.54588E-010	6.80903E-012	7.49658E-012	4.35187E-010	
154	2/22/2019	4:01:35:40 PM	383.406	2.54736E-010	6.73692E-012	7.47935E-012	4.3526E-010	
155	2/22/2019	4:01:37:84 PM	385.844	2.54532E-010	6.97216E-012	7.53355E-012	4.3429E-010	
156	2/22/2019	4:01:40:29 PM	388.297	2.53142E-010	6.86131E-012	7.493E-012	4.3368E-010	
157	2/22/2019	4:01:42:76 PM	390.766	2.5633E-010	6.57806E-012	7.54557E-012	4.34747E-010	
158	2/22/2019	4:01:45:20 PM	393.203	2.5444E-010	6.69151E-012	7.48166E-012	4.3328E-010	
159	2/22/2019	4:01:47:65 PM	395.656	2.55441E-010	6.80125E-012	7.52475E-012	4.33995E-010	
160	2/22/2019	4:01:50:10 PM	398.109	2.54699E-010	6.96233E-012	7.50468E-012	4.33776E-010	
161	2/22/2019	4:01:52:56 PM	400.563	2.54792E-010	7.00701E-012	7.49071E-012	4.33798E-010	
162	2/22/2019	4:01:55:03 PM	403.031	2.55886E-010	7.02462E-012	7.55731E-012	4.35017E-010	
163	2/22/2019	4:01:57:48 PM	405.484	2.55292E-010	6.93935E-012	7.47176E-012	4.3374E-010	
164	2/22/2019	4:01:59:92 PM	407.922	2.54866E-010	6.78456E-012	7.49977E-012	4.34915E-010	
165	2/22/2019	4:02:02:39 PM	410.391	2.5494E-010	6.7004E-012	7.49794E-012	4.34307E-010	
166	2/22/2019	4:02:04:84 PM	412.844	2.54996E-010	7.20999E-012	7.57596E-012	4.34705E-010	
167	2/22/2019	4:02:07:28 PM	415.281	2.54162E-010	6.62959E-012	7.46888E-012	4.33577E-010	
168	2/22/2019	4:02:09:73 PM	417.734	2.55329E-010	7.15345E-012	7.46085E-012	4.3408E-010	
169	2/22/2019	4:02:12:18 PM	420.188	2.53995E-010	6.77566E-012	7.54273E-012	4.33896E-010	
170	2/22/2019	4:02:14:64 PM	422.641	2.54699E-010	6.63386E-012	7.51429E-012	4.3218E-010	
171	2/22/2019	4:02:17:07 PM	425.078	2.54254E-010	6.82534E-012	7.45294E-012	4.32812E-010	
