Start time (s) =
1552988426
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
1.200160000000000053e+02 2.303043866724863165e-11 1.367293171045114164e-11 1.396074662124435761e-12
1.214219999999999970e+02 2.321395506377221807e-11 1.378786234490503304e-11 1.415074112574854492e-12
1.228280000000000030e+02 2.360508490062418474e-11 1.398806331182056439e-11 1.403641092245777600e-12
1.242349999999999994e+02 2.412412283825382531e-11 1.427723911318068417e-11 1.413366168892538077e-12
1.256569999999999965e+02 2.367367239741735574e-11 1.414192200843711333e-11 1.405385139860437782e-12
1.270630000000000024e+02 2.351981977233297272e-11 1.368405389001736694e-11 1.408937094597717543e-12
1.284689999999999941e+02 2.432432380516935666e-11 1.385274360499177959e-11 1.422879392434794887e-12
1.298909999999999911e+02 2.420383511669843557e-11 1.429577723560671032e-11 1.405075600140193171e-12
1.312969999999999970e+02 2.394431874996882925e-11 1.422162995007303365e-11 1.405076033821062165e-12
1.327030000000000030e+02 2.431134980829252612e-11 1.454417402485530530e-11 1.421903176798688939e-12
1.341250000000000000e+02 2.477292329605695897e-11 1.504652479000778698e-11 1.415568291925073385e-12
1.355320000000000107e+02 2.475994756445665246e-11 1.463500501341918891e-11 1.379179539670594146e-12
1.369530000000000030e+02 2.465428382281142916e-11 1.478886110795052389e-11 1.421310009790122120e-12
1.383600000000000136e+02 2.441145029175029180e-11 1.427909266521476539e-11 1.377533503932326653e-12
1.397659999999999911e+02 2.425944167772087212e-11 1.445890369239366535e-11 1.395099205429850553e-12
1.411719999999999970e+02 2.489526466920022330e-11 1.464612632562367622e-11 1.370109104295580416e-12
1.425780000000000030e+02 2.491380365898798743e-11 1.468377676394627684e-11 1.431480151428687897e-12
1.440000000000000000e+02 2.465057671874326672e-11 1.487598585980798305e-11 1.459371035475443001e-12
1.454070000000000107e+02 2.498424557517697764e-11 1.502799273911392675e-11 1.415024239274920159e-12
1.468129999999999882e+02 2.511215194123117556e-11 1.516516252852984081e-11 1.458133201855116301e-12
1.482189999999999941e+02 2.479887128981062006e-11 1.486672243644626690e-11 1.429748138458142304e-12
1.496409999999999911e+02 2.465057324929631477e-11 1.491305863521308339e-11 1.411213485479068108e-12
1.510469999999999970e+02 2.533088669376404312e-11 1.514848316230832381e-11 1.429055875371010309e-12
1.524530000000000030e+02 2.495458527318472619e-11 1.485189055072666520e-11 1.416355205861863364e-12
1.538600000000000136e+02 2.559410842983833589e-11 1.487228222518677256e-11 1.443569981433856508e-12
1.552659999999999911e+02 2.587402514464542946e-11 1.494828393011626844e-11 1.459135655183796398e-12
1.566879999999999882e+02 2.561079820440070876e-11 1.513736011538036053e-11 1.419577563138707532e-12
1.580939999999999941e+02 2.605939249111788314e-11 1.532087477718047097e-11 1.420630973969494448e-12
1.595000000000000000e+02 2.490824040080052981e-11 1.501130469927502986e-11 1.427781829398122593e-12
1.609219999999999970e+02 2.509176026677106819e-11 1.497052655452524306e-11 1.434103920686102818e-12
1.623280000000000030e+02 2.554777049634804342e-11 1.488339833322083194e-11 1.426419529368394556e-12
1.637350000000000136e+02 2.522893179091045823e-11 1.547473434115875790e-11 1.426161272410908509e-12
1.651570000000000107e+02 2.593333880973602845e-11 1.515960273978933515e-11 1.454693895723557784e-12
1.665629999999999882e+02 2.600749129944013305e-11 1.529677599865220117e-11 1.408403992389506421e-12
