Start time (s) =
1553508139
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
7.321800000000000352e+01 2.190000000000000000e+03 1.014757462086679496e-11 2.148897032538954477e-11 2.064150760039407118e-11
7.409300000000000352e+01 2.189843750000000000e+03 1.150782767689317865e-11 2.168303731009402213e-11 2.127250112171630292e-11
7.498399999999999466e+01 2.190312500000000000e+03 1.606452644520306450e-11 2.106427705872437883e-11 2.114707020606232390e-11
7.585899999999999466e+01 2.190781250000000000e+03 2.847325673849265826e-11 2.118621944546816849e-11 2.091662607006661290e-11
7.675000000000000000e+01 2.189843750000000000e+03 5.824168231027826437e-11 2.167970143684971873e-11 2.111559538331420072e-11
7.764000000000000057e+01 2.189687500000000000e+03 1.001357191610097175e-10 2.125211638615009946e-11 2.137137515567655299e-11
7.851500000000000057e+01 2.190000000000000000e+03 3.402820018375655977e+38 2.167414685227964100e-11 2.108466526373753425e-11
7.939000000000000057e+01 2.189687500000000000e+03 3.402820018375655977e+38 2.112173110024873068e-11 2.072875378289484871e-11
8.028100000000000591e+01 2.190781250000000000e+03 9.448342108697715958e-11 2.172975514802555352e-11 2.133676915705429167e-11
8.115600000000000591e+01 2.190000000000000000e+03 5.374634765020758209e-11 2.120832676144601692e-11 2.102411300608508782e-11
8.203100000000000591e+01 2.190000000000000000e+03 2.239970882389474838e-11 2.155222875166451502e-11 2.098085594148813016e-11
8.292199999999999704e+01 2.189843750000000000e+03 1.357062552609367145e-11 2.414377725523664253e-11 2.127497830683999780e-11
8.379699999999999704e+01 2.189843750000000000e+03 1.142676404886078245e-11 4.080830465214013714e-11 2.153134788518418219e-11
8.468699999999999761e+01 2.190000000000000000e+03 1.038953038184908806e-11 4.420248889136502157e-11 2.154068069748493741e-11
8.556199999999999761e+01 2.191875000000000000e+03 9.960881945658695003e-12 4.559930558145630641e-11 2.167995991064763928e-11
8.643699999999999761e+01 2.192968750000000000e+03 9.734275885353582680e-12 3.564675984946141796e-11 2.103576340894974805e-11
8.732800000000000296e+01 2.196562500000000000e+03 9.758222875577704514e-12 2.826405949563071118e-11 2.066975236802992555e-11
8.821800000000000352e+01 2.207343750000000000e+03 9.813495502331015530e-12 2.507012826502563740e-11 2.093750693654694572e-11
8.910899999999999466e+01 2.215937500000000000e+03 9.601010091120354417e-12 2.364757695216823663e-11 2.103084720261882978e-11
8.998399999999999466e+01 2.222812500000000000e+03 9.766821899848121546e-12 2.282591476943096609e-11 2.064519041833356994e-11
9.085899999999999466e+01 2.235000000000000000e+03 9.919736906893739103e-12 2.238680074651000496e-11 2.122674432059046268e-11
9.175000000000000000e+01 2.238593750000000000e+03 9.622503314987707057e-12 2.198886212001482932e-11 2.064702749049462938e-11
9.262500000000000000e+01 2.247343750000000000e+03 9.892716854031924356e-12 2.125623461968206840e-11 2.117271288848421307e-11
9.350000000000000000e+01 2.254687500000000000e+03 9.677775941741018073e-12 2.141528274157700196e-11 2.043154881392617028e-11
9.439000000000000057e+01 2.260000000000000000e+03 9.961498639854404757e-12 2.146714576933828056e-11 2.065562304531809446e-11
9.526500000000000057e+01 2.263593750000000000e+03 1.038891628973859227e-11 2.134109208795642587e-11 2.078090477475313946e-11
9.615600000000000591e+01 2.265781250000000000e+03 1.003703196944538689e-11 2.113471203601946513e-11 2.100934877458104921e-11
