Start time (s) =
1552317296
'Reltime', '44.00[A]', '28.00[A]'
8.110899999999999466e+01 1.335409387237529444e-11 9.468728752459742992e-12
8.137500000000000000e+01 1.379157118369667145e-11 9.922885430002637008e-12
8.165600000000000591e+01 1.346161116605459895e-11 9.744932291666508206e-12
8.193699999999999761e+01 1.423090031232865371e-11 9.900641070870186411e-12
8.220300000000000296e+01 1.319282183498415861e-11 9.735661062049150161e-12
8.246800000000000352e+01 1.359137021678114010e-11 9.535461829857094784e-12
8.275000000000000000e+01 1.327438593073937412e-11 1.008230565008316759e-11
8.301500000000000057e+01 1.365068735131869104e-11 9.542269752138565764e-12
8.329600000000000648e+01 1.384903476620014118e-11 1.007303702255102351e-11
8.356199999999999761e+01 1.385459628966412282e-11 9.357506956797490005e-12
8.384300000000000352e+01 1.376747240516840165e-11 9.915369740542967492e-12
8.410899999999999466e+01 1.401216209034883420e-11 9.908057881091725250e-12
8.437500000000000000e+01 1.382308417036126613e-11 9.800541454774158723e-12
8.465600000000000591e+01 1.354873505055032012e-11 9.683759870371400069e-12
8.492100000000000648e+01 1.391391602628688773e-11 9.731953957980987724e-12
8.520300000000000296e+01 1.390279037727371048e-11 9.995180898225708432e-12
8.546800000000000352e+01 1.395840214246657496e-11 9.735662796772626137e-12
8.573399999999999466e+01 1.334482784692836432e-11 9.720832645776500414e-12
8.601500000000000057e+01 1.390835363546116810e-11 9.852445248537122779e-12
8.628100000000000591e+01 1.347643871496551071e-11 9.791272827242014642e-12
8.654600000000000648e+01 1.371000882266493193e-11 9.893225995372123549e-12
8.681199999999999761e+01 1.387127825797085379e-11 9.833907993472834619e-12
8.709300000000000352e+01 1.397879294956494434e-11 9.832054441438753400e-12
8.735899999999999466e+01 1.418640985934027654e-11 9.477996512630149084e-12
8.762500000000000000e+01 1.412153033397700597e-11 9.778297095641708125e-12
8.790600000000000591e+01 1.381752264689728449e-11 9.928446086104880663e-12
8.817100000000000648e+01 1.425128938470354711e-11 9.832054441438753400e-12
8.845300000000000296e+01 1.402143071788097828e-11 9.509511234018219739e-12
8.871800000000000352e+01 1.434953805085070755e-11 9.706001627418636701e-12
8.898399999999999466e+01 1.378044553468349420e-11 9.667072697894241173e-12
8.926500000000000057e+01 1.417528594505057526e-11 1.014903872748051938e-11
8.953100000000000591e+01 1.396210924653473739e-11 9.820931394510790113e-12
8.981199999999999761e+01 1.371741869399256686e-11 9.922886297364374997e-12
9.007800000000000296e+01 1.413079896150915005e-11 9.657805805085573070e-12
9.034300000000000352e+01 1.391762226299331218e-11 1.009713580107929332e-11
9.062500000000000000e+01 1.372298368690350046e-11 9.858006772001104423e-12
9.089000000000000057e+01 1.388981551303514195e-11 9.830200889404672182e-12
9.115600000000000591e+01 1.408630937588251086e-11 1.003039925423498957e-11
9.142100000000000648e+01 1.403255116272372760e-11 9.889518891303961112e-12
9.170300000000000296e+01 1.399547751995688927e-11 9.807956530272221585e-12
9.196800000000000352e+01 1.389537616913738560e-11 9.707856046814455908e-12
9.223399999999999466e+01 1.420865335111098915e-11 9.985911403331826364e-12
9.251500000000000057e+01 1.404738044635811534e-11 9.576245178777309519e-12
9.278100000000000591e+01 1.468320083575225254e-11 9.737514614083231379e-12
9.304600000000000648e+01 1.405294110246035899e-11 1.022503869768653928e-11
9.331199999999999761e+01 1.430504412841537842e-11 1.003225454099254677e-11
9.359300000000000352e+01 1.412338215128761121e-11 1.001182990678639584e-11
9.385899999999999466e+01 1.455900330848969304e-11 1.035850832192819482e-11
9.412500000000000000e+01 1.430875296720701684e-11 9.516926309516282600e-12
9.439000000000000057e+01 1.407703814626515282e-11 1.044192510235575355e-11
9.467100000000000648e+01 1.397508931494373385e-11 1.005449976748673535e-11
9.495300000000000296e+01 1.447002587195989065e-11 1.016572156314898834e-11
9.521800000000000352e+01 1.435138900079957480e-11 1.020279694063930265e-11
9.548399999999999466e+01 1.415860397674384430e-11 9.761614259973239172e-12
9.576500000000000057e+01 1.413821056756026096e-11 9.932154924896519077e-12
9.603100000000000591e+01 1.409928510748281738e-11 9.882104683167636239e-12
9.631199999999999761e+01 1.446075811178948456e-11 1.009528138168347411e-11
9.657800000000000296e+01 1.448856312702417881e-11 1.004522940523111529e-11
9.684300000000000352e+01 1.399733020462923250e-11 9.832054441438753400e-12
9.710899999999999466e+01 1.442553628633325147e-11 1.036036187396227604e-11
9.739000000000000057e+01 1.419196964808078221e-11 9.676950213366453113e-12
9.765600000000000591e+01 1.419197138280425818e-11 1.010454740713040422e-11
9.792100000000000648e+01 1.460719739609928070e-11 1.019747133956805385e-11
9.820300000000000296e+01 1.455159083507684414e-11 1.007552982018600218e-11
9.846800000000000352e+01 1.435509610486773724e-11 1.007189123769514083e-11
9.873399999999999466e+01 1.449968357186692813e-11 1.023801703137205976e-11
9.900000000000000000e+01 1.456456483195367468e-11 9.839471251660292239e-12
9.928100000000000591e+01 1.462573812061052081e-11 1.003225367363080878e-11
9.954600000000000648e+01 1.436436473239988132e-11 1.005449976748673535e-11
9.981199999999999761e+01 1.457198077481347553e-11 9.906202594334168055e-12
1.000930000000000035e+02 1.426611780097619686e-11 1.036406811066870048e-11
1.003589999999999947e+02 1.445148948425734048e-11 1.029362619447971028e-11
1.006400000000000006e+02 1.422163168479650963e-11 9.882105550529374227e-12
1.009060000000000059e+02 1.452934387385917958e-11 1.027879777820706053e-11
1.011710000000000065e+02 1.466652146953073554e-11 1.047714345836503469e-11
1.014530000000000030e+02 1.460349202675459424e-11 9.772738174262940447e-12
1.017180000000000035e+02 1.424758141327364669e-11 9.887665339269879894e-12
1.019839999999999947e+02 1.467022683887542200e-11 1.006191397562306022e-11
1.022500000000000000e+02 1.462944348995520727e-11 1.033579211801027853e-11
1.025310000000000059e+02 1.495199103418443087e-11 1.003781606445652841e-11
1.027960000000000065e+02 1.469803445619533022e-11 1.033397239308397886e-11
1.030619999999999976e+02 1.455715062381734981e-11 1.004708469198867249e-11
1.033280000000000030e+02 1.448115238833480589e-11 1.012494081631398757e-11
1.036089999999999947e+02 1.472027361115735289e-11 1.069217284155321579e-11
1.038750000000000000e+02 1.464056653688317056e-11 1.008230478272142960e-11
1.041400000000000006e+02 1.465168611436418189e-11 1.056241552555015062e-11
