Start time (s) =
1547808732
'Reltime', '44.00[A]'
3.629699999999999704e+01 2.127127120277183536e-11
3.642199999999999704e+01 2.073859660389754112e-11
3.656300000000000239e+01 2.055627196240195076e-11
3.668800000000000239e+01 2.103889631954736217e-11
3.681300000000000239e+01 2.192549961033130046e-11
3.695400000000000063e+01 2.177177188533718777e-11
3.707900000000000063e+01 2.117832124948204608e-11
3.720400000000000063e+01 2.081367023176738940e-11
3.734400000000000119e+01 2.134276783083421947e-11
3.748499999999999943e+01 2.103531931973989799e-11
3.760999999999999943e+01 2.119619930962546306e-11
3.773499999999999943e+01 2.217575081897571465e-11
3.785999999999999943e+01 2.134634830008863560e-11
3.800000000000000000e+01 2.014157070295841123e-11
3.812500000000000000e+01 2.150722308580377273e-11
3.825000000000000000e+01 2.119619584017851111e-11
3.839099999999999824e+01 2.111397168214068643e-11
3.851599999999999824e+01 2.106391797096485163e-11
3.864099999999999824e+01 2.043829862297119604e-11
3.878199999999999648e+01 2.196482058736126675e-11
3.890699999999999648e+01 2.096739622203802611e-11
3.903199999999999648e+01 2.085657341277524779e-11
3.917199999999999704e+01 2.197911991297374357e-11
3.931300000000000239e+01 2.114972259825709244e-11
3.943800000000000239e+01 2.141771482389032144e-11
3.956300000000000239e+01 2.091377071522515507e-11
3.970400000000000063e+01 2.230087642329792175e-11
3.984400000000000119e+01 2.121764743068244030e-11
3.996900000000000119e+01 2.190404455038041931e-11
4.009400000000000119e+01 2.070642095286512330e-11
4.021900000000000119e+01 2.132132144450071820e-11
4.035999999999999943e+01 2.174316976466528217e-11
4.048499999999999943e+01 2.111754521250119865e-11
4.060999999999999943e+01 2.056699428820696340e-11
4.075000000000000000e+01 1.945874537889746847e-11
4.087500000000000000e+01 2.123194675629491712e-11
4.100000000000000000e+01 2.104604858443881454e-11
4.114099999999999824e+01 2.122122269576642850e-11
4.126599999999999824e+01 2.196124532227727855e-11
4.139099999999999824e+01 2.088874732908418963e-11
4.153199999999999648e+01 2.184327371756999980e-11
4.165699999999999648e+01 2.172172164360830493e-11
4.178199999999999648e+01 2.116044839350905704e-11
4.192199999999999704e+01 2.126412414205081092e-11
4.206300000000000239e+01 2.181824512725860643e-11
4.218800000000000239e+01 2.197197285225271912e-11
4.232900000000000063e+01 2.136064762570111242e-11
4.245400000000000063e+01 2.087444453402476086e-11
4.259400000000000119e+01 2.085299641296778361e-11
4.271900000000000119e+01 2.162877169031851565e-11
4.284400000000000119e+01 2.113541980319766367e-11
4.296900000000000119e+01 2.122122443048990448e-11
4.310999999999999943e+01 2.110682115197271003e-11
4.323499999999999943e+01 2.126054540751987076e-11
4.337500000000000000e+01 2.093522057100560829e-11
4.350000000000000000e+01 2.060989573449134582e-11
4.364099999999999824e+01 2.083869535263183081e-11
