Start time (s) =
1547810078
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
9.637500000000000000e+01 2.871093750000000000e+03 2.106953674030354051e-11 3.527761069377355341e-11
9.703100000000000591e+01 2.877500000000000000e+03 2.055859822658323566e-11 3.551526434053542403e-11
9.768699999999999761e+01 2.885156250000000000e+03 2.046709676739588701e-11 3.550850585787301839e-11
9.834300000000000352e+01 2.896406250000000000e+03 2.103207018266939343e-11 3.599489803440825142e-11
9.898399999999999466e+01 2.907968750000000000e+03 2.091846314222767234e-11 3.583338487045395482e-11
9.964000000000000057e+01 2.924218750000000000e+03 2.078152233631058721e-11 3.571853576800343433e-11
1.002810000000000059e+02 2.933906250000000000e+03 2.107383191563005909e-11 3.547536223114100551e-11
1.009369999999999976e+02 2.942500000000000000e+03 2.091970346951299575e-11 3.592304925748024402e-11
1.015930000000000035e+02 2.954843750000000000e+03 2.096022314046486201e-11 3.574065349232213862e-11
1.022339999999999947e+02 2.962343750000000000e+03 2.109287917939628443e-11 3.519470131996271789e-11
1.028900000000000006e+02 2.971406250000000000e+03 2.057886153150612074e-11 3.516215096865948908e-11
1.035310000000000059e+02 2.986093750000000000e+03 2.087916471660289375e-11 3.513882934624845689e-11
1.041869999999999976e+02 2.999218750000000000e+03 2.152582452563667204e-11 3.620676328197625082e-11
1.048430000000000035e+02 3.012656250000000000e+03 2.089635062207939598e-11 3.573144211066470177e-11
1.054839999999999947e+02 3.021406250000000000e+03 2.102040243256997343e-11 3.563685804786054234e-11
1.061400000000000006e+02 3.030625000000000000e+03 2.075326716033387697e-11 3.546124158204655430e-11
1.067969999999999970e+02 3.040312500000000000e+03 2.122797770898188219e-11 3.581986096623523963e-11
1.074530000000000030e+02 3.049687500000000000e+03 2.105172459965221066e-11 3.618097141333542766e-11
1.080930000000000035e+02 3.061093750000000000e+03 2.133974420781559189e-11 3.556931485459990938e-11
1.087500000000000000e+02 3.070312500000000000e+03 2.090810857779956677e-11 3.548763019556311349e-11
1.093900000000000006e+02 3.077343750000000000e+03 2.110638053220981192e-11 3.544341903305436858e-11
1.100619999999999976e+02 3.080625000000000000e+03 2.106401164603255438e-11 3.568107961871014311e-11
1.107030000000000030e+02 3.110625000000000000e+03 2.095039246252650145e-11 3.563380493454282316e-11
1.113589999999999947e+02 3.126875000000000000e+03 2.111191430009817793e-11 3.587759603296269972e-11
1.120150000000000006e+02 3.130781250000000000e+03 2.112419093813766580e-11 3.570441164946203116e-11
1.126719999999999970e+02 3.137812500000000000e+03 2.116778627381243894e-11 3.583890823000146497e-11
1.133119999999999976e+02 3.145937500000000000e+03 2.115674475888784656e-11 3.592426009446647583e-11
1.139680000000000035e+02 3.155468750000000000e+03 2.107445468135793476e-11 3.538201329145174157e-11
1.146089999999999947e+02 3.170468750000000000e+03 2.132986669234337995e-11 3.671095025192805394e-11
1.152650000000000006e+02 3.180468750000000000e+03 2.092337587911163865e-11 3.585549565587875520e-11
1.159219999999999970e+02 3.190625000000000000e+03 2.101797381970360590e-11 3.531875139572981936e-11
1.165619999999999976e+02 3.202812500000000000e+03 2.079933100751496511e-11 3.612201163183392794e-11
1.172180000000000035e+02 3.212656250000000000e+03 2.147731124890750465e-11 3.549253599355317590e-11
1.178589999999999947e+02 3.222968750000000000e+03 2.094978877875686152e-11 3.578733143161372254e-11
