Start time (s) =
1547806285
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
9.635899999999999466e+01 2.615000000000000000e+03 2.463813875142051302e-11 4.688492649673747792e-11
9.701500000000000057e+01 2.627500000000000000e+03 2.460804476855926737e-11 4.699853006773224706e-11
9.765600000000000591e+01 2.639062500000000000e+03 2.495439618832584472e-11 4.711397591505850357e-11
9.831199999999999761e+01 2.650000000000000000e+03 2.450548791665951853e-11 4.709003673109002364e-11
9.896899999999999409e+01 2.663281250000000000e+03 2.462401636760258583e-11 4.775634401821271524e-11
9.960899999999999466e+01 2.675312500000000000e+03 2.533945275828841659e-11 4.839932274403047074e-11
1.002650000000000006e+02 2.680937500000000000e+03 2.485000920315894035e-11 4.776863279931653494e-11
1.009219999999999970e+02 2.697968750000000000e+03 2.475666373291662836e-11 4.796943745000170622e-11
1.015780000000000030e+02 2.707500000000000000e+03 2.464243739619398355e-11 4.840607428779897248e-11
1.022339999999999947e+02 2.717343750000000000e+03 2.488501939235110427e-11 4.848529217005292935e-11
1.028750000000000000e+02 2.732031250000000000e+03 2.459330829263084439e-11 4.831211472544616470e-11
1.035469999999999970e+02 2.741406250000000000e+03 2.456444596343754228e-11 4.846993292839663070e-11
1.041869999999999976e+02 2.747656250000000000e+03 2.498756236646304529e-11 4.842204068267186301e-11
1.048439999999999941e+02 2.761093750000000000e+03 2.450241225193661165e-11 4.779011561484303172e-11
1.054839999999999947e+02 2.777031250000000000e+03 2.483771868733164467e-11 4.684622134654148340e-11
1.061400000000000006e+02 2.782812500000000000e+03 2.466515706955885179e-11 4.699117484019410540e-11
1.067969999999999970e+02 2.792968750000000000e+03 2.521478685568734335e-11 4.705195955079233272e-11
1.074530000000000030e+02 2.803281250000000000e+03 2.479965538482176157e-11 4.650292997898652914e-11
1.080939999999999941e+02 2.812968750000000000e+03 2.467129625594033371e-11 4.556827137847108133e-11
1.087500000000000000e+02 2.824062500000000000e+03 2.476156953090669077e-11 4.606999504108699739e-11
1.094060000000000059e+02 2.831250000000000000e+03 2.467436845121628863e-11 4.622720609082087151e-11
1.100469999999999970e+02 2.837187500000000000e+03 2.457426449831157100e-11 4.608904577430017468e-11
1.107030000000000030e+02 2.843125000000000000e+03 2.505450187595403833e-11 4.580961998623678255e-11
1.113439999999999941e+02 2.868437500000000000e+03 2.498879575485446480e-11 4.658769550691665984e-11
1.120000000000000000e+02 2.876718750000000000e+03 2.478614015422042627e-11 4.590417976291227831e-11
1.126560000000000059e+02 2.887500000000000000e+03 2.485859955381197750e-11 4.579242193769594849e-11
1.132969999999999970e+02 2.900156250000000000e+03 2.467252790960827724e-11 4.577460285815071472e-11
